model_name,accuracy,precision,recall,f1,roc_auc,brier_score,train_f1,test_f1,generalization_gap
Logistic Regression (saved baseline),0.8926241291606768,0.6548042704626335,0.1739130434782608,0.2748319641523525,0.7741755867866617,0.0849721180502798,0.2791991101223581,0.2748319641523525,0.0043671459700056
XGBoost default,0.8933982085591065,0.5983263598326359,0.27032136105860116,0.3723958333333333,0.7909682971261096,0.08321996033191681,0.5878249841471148,0.3723958333333333,0.2154291508137815
XGBoost Grid Search,0.8956098639831914,0.654054054054054,0.22873345935727787,0.3389355742296919,0.8042185075277014,0.08034662902355194,0.36985345429169575,0.3389355742296919,0.030917880062003855
XGBoost Random Search,0.8958310295255999,0.6487179487179487,0.2391304347826087,0.3494475138121547,0.8064072759297028,0.07997976243495941,0.4284983807738197,0.3494475138121547,0.07905086696166497
XGBoost Bayesian Search,0.8939511224151278,0.6117381489841986,0.2561436672967864,0.36109260493004663,0.8040953441767587,0.08110339194536209,0.48672566371681414,0.36109260493004663,0.1256330587867675
