slice_column,slice_value,model_name,n,subscription_rate,accuracy,precision,recall,f1,false_negative_rate,false_positive_rate,avg_subscription_probability
job,admin.,XGBoost default,1030,0.11844660194174757,0.883495145631068,0.5166666666666667,0.2540983606557377,0.34065934065934067,0.7459016393442623,0.031938325991189426,0.12131471377893203
job,blue-collar,XGBoost default,1902,0.07202944269190326,0.9363827549947423,0.75,0.17518248175182483,0.28402366863905326,0.8248175182481752,0.004532577903682719,0.07255541630405363
job,entrepreneur,XGBoost default,301,0.07308970099667775,0.9302325581395349,0.6666666666666666,0.09090909090909091,0.16,0.9090909090909091,0.0035842293906810036,0.07806284430033224
job,housemaid,XGBoost default,227,0.10572687224669604,0.9030837004405287,0.6,0.25,0.35294117647058826,0.75,0.019704433497536946,0.08442876958986784
job,management,XGBoost default,1947,0.1335387776065742,0.8813559322033898,0.6306306306306306,0.2692307692307692,0.37735849056603776,0.7307692307692307,0.024303497332542976,0.12745558599719056
job,retired,XGBoost default,452,0.22123893805309736,0.8097345132743363,0.6,0.42,0.49411764705882355,0.58,0.07954545454545454,0.220774862434292
job,self-employed,XGBoost default,336,0.13392857142857142,0.8779761904761905,0.6111111111111112,0.24444444444444444,0.3492063492063492,0.7555555555555555,0.024054982817869417,0.11480204973095239
job,services,XGBoost default,806,0.0880893300248139,0.9193548387096774,0.625,0.2112676056338028,0.3157894736842105,0.7887323943661971,0.012244897959183673,0.08863820867245657
job,student,XGBoost default,180,0.2777777777777778,0.7277777777777777,0.5128205128205128,0.4,0.449438202247191,0.6,0.14615384615384616,0.2879111655916667
job,technician,XGBoost default,1529,0.1157619359058208,0.8914323086984958,0.5647058823529412,0.2711864406779661,0.366412213740458,0.7288135593220338,0.027366863905325445,0.11966798222307388
job,unemployed,XGBoost default,279,0.15770609318996415,0.8709677419354839,0.6818181818181818,0.3409090909090909,0.45454545454545453,0.6590909090909091,0.029787234042553193,0.14234549876917563
job,unknown,XGBoost default,54,0.1111111111111111,0.8888888888888888,0.5,0.3333333333333333,0.4,0.6666666666666666,0.041666666666666664,0.11657151889074076
marital,divorced,XGBoost default,1037,0.10703953712632594,0.9006750241080038,0.5869565217391305,0.24324324324324326,0.34394904458598724,0.7567567567567568,0.020518358531317494,0.11224269495014463
marital,married,XGBoost default,5443,0.10472166084879662,0.9055667830240676,0.6147540983606558,0.2631578947368421,0.36855036855036855,0.7368421052631579,0.01928996511389288,0.10032727999880947
marital,single,XGBoost default,2563,0.14709325009754196,0.8646117830667187,0.5797872340425532,0.2891246684350133,0.3858407079646018,0.7108753315649867,0.036139066788655076,0.14900799984229418
education,primary,XGBoost default,1320,0.08636363636363636,0.9181818181818182,0.5789473684210527,0.19298245614035087,0.2894736842105263,0.8070175438596491,0.013266998341625208,0.08163578955467424
education,secondary,XGBoost default,4641,0.10105580693815988,0.9086403792286145,0.6153846153846154,0.255863539445629,0.3614457831325301,0.744136460554371,0.01797698945349952,0.10331721415275587
education,tertiary,XGBoost default,2707,0.15478389360916142,0.8603620243812339,0.5944700460829493,0.30787589498806683,0.4056603773584906,0.6921241050119332,0.038461538461538464,0.1502567180422719
education,unknown,XGBoost default,375,0.14933333333333335,0.856,0.5357142857142857,0.26785714285714285,0.35714285714285715,0.7321428571428571,0.04075235109717868,0.13436051855221331
contact,cellular,XGBoost default,5820,0.15257731958762888,0.8634020618556701,0.6094117647058823,0.2916666666666667,0.3945163747143945,0.7083333333333334,0.033657745336577456,0.14674975355769762
contact,telephone,XGBoost default,589,0.11375212224108659,0.8862478777589134,0.5,0.34328358208955223,0.40707964601769914,0.6567164179104478,0.044061302681992334,0.13735488248285227
contact,unknown,XGBoost default,2634,0.039104024297646166,0.9612756264236902,0.5714285714285714,0.038834951456310676,0.07272727272727272,0.9611650485436893,0.001185302252074279,0.04153339855900531
month,apr,XGBoost default,538,0.20260223048327136,0.7992565055762082,0.5081967213114754,0.28440366972477066,0.36470588235294116,0.7155963302752294,0.06993006993006994,0.20146202925780668
month,aug,XGBoost default,1261,0.1134020618556701,0.8961141950832673,0.65,0.18181818181818182,0.28415300546448086,0.8181818181818182,0.012522361359570662,0.10934025512133227
month,dec,XGBoost default,36,0.4444444444444444,0.5833333333333334,0.5333333333333333,0.5,0.5161290322580645,0.5,0.35,0.4316774029166666
month,feb,XGBoost default,571,0.16112084063047286,0.87215411558669,0.6666666666666666,0.41304347826086957,0.5100671140939598,0.5869565217391305,0.03966597077244259,0.16929394514500873
month,jan,XGBoost default,284,0.09859154929577464,0.8943661971830986,0.4375,0.25,0.3181818181818182,0.75,0.03515625,0.09671241395704225
month,jul,XGBoost default,1358,0.08394698085419734,0.9204712812960235,0.6153846153846154,0.14035087719298245,0.22857142857142856,0.8596491228070176,0.008038585209003215,0.08865003297319587
month,jun,XGBoost default,1104,0.09510869565217392,0.8940217391304348,0.38,0.18095238095238095,0.24516129032258063,0.819047619047619,0.031031031031031032,0.10215098278618659
month,mar,XGBoost default,86,0.5697674418604651,0.6162790697674418,0.6666666666666666,0.6530612244897959,0.6597938144329897,0.3469387755102041,0.43243243243243246,0.5159170154883721
month,may,XGBoost default,2704,0.06878698224852071,0.9360207100591716,0.7241379310344828,0.11290322580645161,0.19534883720930232,0.8870967741935484,0.003177124702144559,0.06582279798290312
month,nov,XGBoost default,827,0.10519951632406288,0.9032648125755743,0.6206896551724138,0.20689655172413793,0.3103448275862069,0.7931034482758621,0.014864864864864866,0.09545244006771463
month,oct,XGBoost default,146,0.4383561643835616,0.6575342465753424,0.6346153846153846,0.515625,0.5689655172413793,0.484375,0.23170731707317074,0.42513226759589035
month,sep,XGBoost default,128,0.5078125,0.640625,0.6727272727272727,0.5692307692307692,0.6166666666666667,0.4307692307692308,0.2857142857142857,0.4837715409453125
BalanceGroup,High,XGBoost default,564,0.1453900709219858,0.8528368794326241,0.49019607843137253,0.3048780487804878,0.37593984962406013,0.6951219512195121,0.05394190871369295,0.16193322919840425
BalanceGroup,Low,XGBoost default,4686,0.10712761416986769,0.9063166880068289,0.6451612903225806,0.2788844621513944,0.3894297635605007,0.7211155378486056,0.018403441682600382,0.10734404114911439
BalanceGroup,Medium,XGBoost default,2323,0.15798536375376668,0.8553594489883771,0.5846994535519126,0.29155313351498635,0.3890909090909091,0.7084468664850136,0.03885480572597137,0.15016730408751613
BalanceGroup,Negative,XGBoost default,1470,0.0727891156462585,0.927891156462585,0.5185185185185185,0.1308411214953271,0.208955223880597,0.8691588785046729,0.009537784299339692,0.06884448830249659
