model_name,accuracy,precision,recall,f1,roc_auc,brier_score,train_f1,test_f1,generalization_gap
Logistic Regression,0.8926241291606768,0.6548042704626335,0.17391304347826086,0.2748319641523525,0.7741755867866617,0.08497211805027982,0.27919911012235815,0.2748319641523525,0.004367145970005648
Decision Tree,0.831693022227137,0.29930795847750863,0.3270321361058601,0.31255645889792233,0.6127959678650778,0.168306977772863,1.0,0.31255645889792233,0.6874435411020776
XGBoost,0.8933982085591065,0.5983263598326359,0.27032136105860116,0.3723958333333333,0.7909682971261096,0.08321996033191681,0.5878249841471148,0.3723958333333333,0.2154291508137815
