mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.831101576487223,0.4626787824118441,0.5403069655100504,0.1120613170959616,0.03,2,100,0.8,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.8}",0.2384887839433294,0.22939068100358423,0.2375886524822695,0.23515603914306105,0.004093252579479318,16
3.971848487854004,0.4390559392631209,0.3875429630279541,0.12745469238260962,0.03,2,100,1.0,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100, 'subsample': 1.0}",0.2414605418138987,0.23255813953488372,0.24203069657615112,0.23868312597497784,0.00433726974656734,15
5.300338268280029,1.1489301365047924,0.17616494496663412,0.01746316208476666,0.03,2,200,0.8,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.8}",0.26051873198847264,0.250436808386721,0.25855072463768114,0.25650208833762494,0.004363406841396617,11
3.2345170974731445,0.04305283332215928,0.15140978495279947,0.019144992488232614,0.03,2,200,1.0,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200, 'subsample': 1.0}",0.2564991334488735,0.2472173403632103,0.25855072463768114,0.25408906614992166,0.004930700968916657,12
2.3001646200815835,0.06716065286446181,0.13952970504760742,0.01918129704006956,0.03,3,100,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.2510215995329831,0.253949678174371,0.2516091281451141,0.25219346861748937,0.0012647796839185901,13
1.8842007319132488,0.19360370963148518,0.1444429556528727,0.008029484918551674,0.03,3,100,1.0,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.2533566841798015,0.24662360540223136,0.24970828471411902,0.24989619143205064,0.002751977368756783,14
3.0045889218648276,0.031911554605275894,0.1384580135345459,0.0067808677695161985,0.03,3,200,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.28348214285714285,0.2743312464428002,0.2811791383219955,0.2796641758739795,0.0038863916178276153,8
0.6877549489339193,0.0754332239549717,0.15925057729085287,0.017311203986790192,0.03,3,200,1.0,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.2821948488241881,0.27298686464877214,0.27695800227014755,0.27737990524770256,0.003770963160390199,9
-0.22725693384806314,1.0740920714229938,0.10621929168701172,0.025729657105394398,0.1,2,100,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.8}",0.28761061946902655,0.2684869169510808,0.2901960784313726,0.28209787161716,0.009682104272076426,7
-1.522175709406535,0.017578654295131658,0.09206128120422363,0.008243643904276848,0.1,2,100,1.0,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 1.0}",0.27901785714285715,0.2627653471026965,0.27938671209540034,0.2737233054469847,0.007749909754329178,10
2.9994313716888428,0.02550004488317312,0.16670521100362143,0.007598079261107288,0.1,2,200,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.8}",0.3140583554376658,0.3055100927441353,0.3236870310825295,0.3144184930881102,0.007425072218948299,3
2.234232028325399,0.1324183121843004,0.1107772986094157,0.00723122843028507,0.1,2,200,1.0,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200, 'subsample': 1.0}",0.3099946552645644,0.300768386388584,0.31470428648941945,0.30848910938085594,0.005788052591967927,5
1.6164974371592205,0.2916945487915402,0.1122883955637614,0.015283551283052154,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.3059581320450886,0.3080283997815401,0.3120260021668472,0.30867084466449196,0.002518506637454831,4
1.2816088199615479,0.04955845233788254,0.08580517768859863,0.002856789085429221,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.3030628694250403,0.2948294829482948,0.3080260303687636,0.3019727942473662,0.0054423287830919174,6
2.329430182774862,0.04773788328294518,0.10299921035766602,0.007185465141330331,0.1,3,200,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.32868217054263565,0.3285638579756227,0.3390535621424857,0.3320998635535814,0.004917244656300664,1
1.9328234990437825,0.21003468492628333,0.08372688293457031,0.01902751167507956,0.1,3,200,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.3364293085655315,0.32489451476793246,0.3293256664924203,0.33021649660862806,0.004751003452622008,2
