mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.350937525431315,0.29409815513056675,0.16378863652547201,0.01783630430665476,0.7810890415965769,1.9014286128198323,0.08960785365368121,2,5,182,0.7792297153882993,0.684991220536301,"{'colsample_bytree': np.float64(0.7810890415965769), 'gamma': np.float64(1.9014286128198323), 'learning_rate': np.float64(0.08960785365368121), 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 182, 'reg_lambda': np.float64(0.7792297153882993), 'subsample': np.float64(0.684991220536301)}",0.31226765799256506,0.2869757174392936,0.29852378348824493,0.29925571964003456,0.010338354547840338,10
5.311395804087321,0.5514938379547746,0.41693846384684247,0.06986022571593697,0.8107371121880536,0.6674172222780437,0.015341718702799927,4,6,337,2.7796975515266835,0.9784934481555125,"{'colsample_bytree': np.float64(0.8107371121880536), 'gamma': np.float64(0.6674172222780437), 'learning_rate': np.float64(0.015341718702799927), 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 337, 'reg_lambda': np.float64(2.7796975515266835), 'subsample': np.float64(0.9784934481555125)}",0.28298708590679394,0.2771152754116979,0.2824730572887124,0.2808584728690681,0.002655146167815588,13
4.177326838175456,0.5199914410400769,0.2500046094258626,0.036128124876855176,0.6502725680443551,1.984423118582435,0.06358606736176979,3,6,332,0.7309539835912913,0.7519301990693147,"{'colsample_bytree': np.float64(0.6502725680443551), 'gamma': np.float64(1.984423118582435), 'learning_rate': np.float64(0.06358606736176979), 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 332, 'reg_lambda': np.float64(0.7309539835912913), 'subsample': np.float64(0.7519301990693147)}",0.3385093167701863,0.31752797016515716,0.33842909857670006,0.33148879517068114,0.009871848353298723,4
4.100396553675334,0.05486864936583376,0.24931653340657553,0.0071177827029131994,0.8641485131528328,0.27898772130408367,0.023993242906812727,5,7,269,0.15177941306507498,0.8664351032665806,"{'colsample_bytree': np.float64(0.8641485131528328), 'gamma': np.float64(0.27898772130408367), 'learning_rate': np.float64(0.023993242906812727), 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 269, 'reg_lambda': np.float64(0.15177941306507498), 'subsample': np.float64(0.8664351032665806)}",0.3153393907001603,0.3161325366648561,0.31027027027027027,0.3139140658784289,0.0025968192025187706,8
2.5850465297698975,0.24130523730443512,0.13931099573771158,0.0033565808372608827,0.7838616969435069,1.9664617716135764,0.040482984757722995,2,3,214,0.2193048555664369,0.6727680575448478,"{'colsample_bytree': np.float64(0.7838616969435069), 'gamma': np.float64(1.9664617716135764), 'learning_rate': np.float64(0.040482984757722995), 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 214, 'reg_lambda': np.float64(0.2193048555664369), 'subsample': np.float64(0.6727680575448478)}",0.2718006795016987,0.2630672027570362,0.27519818799546997,0.2700220234180683,0.0051096584237860145,15
1.7153226534525554,0.061150590581903926,0.12828930219014487,0.02621350171596374,0.9821099380386666,1.9312640661491187,0.11265466963346032,2,2,132,0.2895927274708839,0.7343589131091042,"{'colsample_bytree': np.float64(0.9821099380386666), 'gamma': np.float64(1.9312640661491187), 'learning_rate': np.float64(0.11265466963346032), 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 132, 'reg_lambda': np.float64(0.2895927274708839), 'subsample': np.float64(0.7343589131091042)}",0.30760986066452306,0.2898389783453637,0.3081967213114754,0.3018818534404541,0.00851896831671128,9
2.7052883307139077,0.3681311360136995,0.24357167879740396,0.063668938398751,0.8891422315889104,1.2199933155652418,0.1213421183393142,4,6,160,0.3292759134423616,0.8818827995238937,"{'colsample_bytree': np.float64(0.8891422315889104), 'gamma': np.float64(1.2199933155652418), 'learning_rate': np.float64(0.1213421183393142), 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 160, 'reg_lambda': np.float64(0.3292759134423616), 'subsample': np.float64(0.8818827995238937)}",0.3350357507660878,0.3522727272727273,0.35575942915392456,0.34768930239757995,0.009059931904461268,2
4.561914682388306,0.4155799257531129,0.22964771588643393,0.04884586717262364,0.7590988766312938,1.0401360423556216,0.05143828405076928,3,5,270,4.836927180682223,0.807413946679418,"{'colsample_bytree': np.float64(0.7590988766312938), 'gamma': np.float64(1.0401360423556216), 'learning_rate': np.float64(0.05143828405076928), 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 270, 'reg_lambda': np.float64(4.836927180682223), 'subsample': np.float64(0.807413946679418)}",0.3127659574468085,0.3150537634408602,0.32240730789897903,0.31674234292888265,0.004113180857594242,7
3.77773110071818,0.4796130706645404,0.16975736618041992,0.022023528629913202,0.7883025826006351,1.8533177315875884,0.08834921226320053,4,6,294,1.100698868558953,0.9864102085222721,"{'colsample_bytree': np.float64(0.7883025826006351), 'gamma': np.float64(1.8533177315875884), 'learning_rate': np.float64(0.08834921226320053), 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 294, 'reg_lambda': np.float64(1.100698868558953), 'subsample': np.float64(0.9864102085222721)}",0.3199577613516367,0.31216361679224974,0.3208955223880597,0.3176723001773154,0.003913995692216328,6
5.757538636525472,0.8621835827030436,-0.5989823341369629,1.306357894091657,0.945586847037353,1.4946402202747617,0.05036810975099665,5,2,296,0.3646439558980721,0.839943629105387,"{'colsample_bytree': np.float64(0.945586847037353), 'gamma': np.float64(1.4946402202747617), 'learning_rate': np.float64(0.05036810975099665), 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 296, 'reg_lambda': np.float64(0.3646439558980721), 'subsample': np.float64(0.839943629105387)}",0.33874239350912777,0.3418447107868682,0.3550538737814264,0.3452136593591408,0.00707240920904892,3
